"Dataset","Preprocessing","Var_Selection","Model_Method","Best_Depth","Best_Eta","Best_Nrounds","R2","RMSE","MAE"
"Dataset 2 with Ref 1","Raw","PCA","XGBoost",3,0.1,200,0.0954088211929012,1.75576699835831,1.1280734160116
"Dataset 2 with Ref 1","Raw","Kernel_PCA","XGBoost",3,0.05,100,0.307337969708998,1.53638973999757,0.979584214142531
"Dataset 2 with Ref 1","SNV","None","XGBoost",3,0.05,100,0.403873489393567,1.42531194725876,0.866798387449933
"Dataset 2 with Ref 1","SNV","VIP","XGBoost",3,0.1,100,0.395370236239404,1.4354414029408,0.870869935167283
"Dataset 2 with Ref 1","SNV","GA","XGBoost",3,0.05,100,0.40152468540058,1.42811712968257,0.905964757185761
"Dataset 2 with Ref 1","SNV","PCA","XGBoost",3,0.05,100,0.264255824401086,1.58344915969362,1.01268468519374
"Dataset 2 with Ref 1","SNV","Kernel_PCA","XGBoost",3,0.05,100,0.26206084407613,1.58580938996514,1.02290092023007
"Dataset 2 with Ref 1","1st_Der","None","XGBoost",3,0.05,100,0.288921719755394,1.55668024560441,0.959312130915238
"Dataset 2 with Ref 1","1st_Der","VIP","XGBoost",3,0.05,100,0.287688120960116,1.55802994703297,0.953635289359584
"Dataset 2 with Ref 1","1st_Der","GA","XGBoost",3,0.05,100,-0.0315445012454065,1.87492841816234,1.19600980444621
"Dataset 2 with Ref 1","1st_Der","PCA","XGBoost",3,0.05,100,0.286088572790466,1.55977830089266,0.99573638428612
"Dataset 2 with Ref 1","1st_Der","Kernel_PCA","XGBoost",3,0.1,100,0.348869448630037,1.48961742569812,0.90495317408322
"Dataset 2 with Ref 1","2nd_Der","None","XGBoost",3,0.05,100,0.291086488748309,1.5543089020525,0.973550514866378
"Dataset 2 with Ref 1","2nd_Der","VIP","XGBoost",3,0.05,100,0.319154443710231,1.52322833963727,0.951413997741105
"Dataset 2 with Ref 1","2nd_Der","GA","XGBoost",3,0.05,100,0.232030790641715,1.6177544812015,1.02246558409326
"Dataset 2 with Ref 1","2nd_Der","PCA","XGBoost",3,0.05,100,0.244209341326609,1.60487594450228,1.04861336025963
"Dataset 2 with Ref 1","2nd_Der","Kernel_PCA","XGBoost",3,0.1,100,0.183031207792989,1.66856619676569,1.04885957590047
"Dataset 2 with Ref 1","EMSC","None","XGBoost",3,0.05,100,0.405898337933221,1.42288922685386,0.863032600146569
"Dataset 2 with Ref 1","EMSC","VIP","XGBoost",3,0.05,100,0.332588985000934,1.50812518498123,0.917771071355837
"Dataset 2 with Ref 1","EMSC","GA","XGBoost",3,0.05,100,0.372167877275475,1.46272429125315,0.883588792230287
"Dataset 2 with Ref 1","EMSC","PCA","XGBoost",3,0.05,100,0.201788568407083,1.64930007658146,1.01635591399579
"Dataset 2 with Ref 1","EMSC","Kernel_PCA","XGBoost",3,0.1,200,0.305833958447878,1.53805685496085,0.99130284213482
"Dataset 2 with Ref 1","RNV","None","XGBoost",3,0.05,100,0.106349837345121,1.74511670943439,1.13207601720021
"Dataset 2 with Ref 1","RNV","VIP","XGBoost",3,0.05,100,0.155194920858511,1.69675432803646,1.05334815032434
"Dataset 2 with Ref 1","RNV","GA","XGBoost",3,0.1,200,0.13135196310748,1.72053150217596,1.12055343566996
"Dataset 2 with Ref 1","RNV","PCA","XGBoost",3,0.1,100,0.293455746539276,1.55170940265192,1.07067178600915
"Dataset 2 with Ref 1","RNV","Kernel_PCA","XGBoost",3,0.05,100,-0.183167063826356,2.0080001610514,1.17482744689671
