"Dataset","Preprocessing","Var_Selection","ncomp","R2_CV","RMSECV","RPD_CV"
"Dataset 2 with Ref 2","2nd_Der","SR",3,-0.0633223755673835,1.77789424565292,1.03732756702105
"Dataset 2 with Ref 2","2nd_Der","sMC",1,0.0793803516380831,1.65429732567379,1.11482904774249
"Dataset 2 with Ref 2","2nd_Der","UVE",1,0.0270316257134042,1.70068080451913,1.08442378332443
"Dataset 2 with Ref 2","2nd_Der","GA",1,0.0441590994797523,1.68564552872338,1.09409640451549
"Dataset 2 with Ref 2","EMSC","None",1,-0.00539139891240481,1.72878517891924,1.06679461089365
"Dataset 2 with Ref 2","EMSC","VIP",4,-0.396379602688836,2.03739481241311,0.905204382099857
"Dataset 2 with Ref 2","EMSC","SR",1,-0.0156526002890001,1.73758492571579,1.06139198433949
"Dataset 2 with Ref 2","EMSC","sMC",1,-0.0197254668012832,1.74106538292468,1.05927022060817
"Dataset 2 with Ref 2","EMSC","UVE",1,-0.015032592040626,1.73705448772501,1.06171609773696
"Dataset 2 with Ref 2","EMSC","GA",1,-0.0362407188407807,1.75510771293204,1.05079517266942
"Dataset 2 with Ref 2","RNV","None",1,-0.000625534069186084,1.72468282447278,1.06933210332609
"Dataset 2 with Ref 2","RNV","VIP",4,-0.093131704180565,1.80264286132728,1.02308602099139
"Dataset 2 with Ref 2","RNV","SR",1,-0.0376165912580406,1.75627250177552,1.05009826800761
"Dataset 2 with Ref 2","RNV","sMC",1,-0.0170298302230294,1.73876261347697,1.06067308899398
"Dataset 2 with Ref 2","RNV","UVE",3,0.0525789522840904,1.67820481271056,1.09894733842713
"Dataset 2 with Ref 2","RNV","GA",2,0.109543241266343,1.62697119958139,1.13355338603313
"Dataset 2 with Ref 3","Raw","None",5,0.0982290138420491,0.163907824171515,1.28877860347358
"Dataset 2 with Ref 3","Raw","VIP",6,0.0268600112837085,0.170270423310198,1.24062002447319
"Dataset 2 with Ref 3","Raw","SR",1,0.0676912443789921,0.166660023059073,1.26749590487746
"Dataset 2 with Ref 3","Raw","sMC",4,0.103907283721218,0.163390962000266,1.29285545631229
"Dataset 2 with Ref 3","Raw","UVE",2,0.0659979687053402,0.166811299845098,1.26634644613595
"Dataset 2 with Ref 3","Raw","GA",4,0.149319760453726,0.15919694469297,1.32691552053063
"Dataset 2 with Ref 3","SNV","None",2,0.569968123546838,0.113188389537749,1.86627707662285
"Dataset 2 with Ref 3","SNV","VIP",4,0.553626439921295,0.115318978644548,1.831796458979
"Dataset 2 with Ref 3","SNV","SR",4,0.530976827491212,0.11820849992372,1.7870195194971
"Dataset 2 with Ref 3","SNV","sMC",4,0.58543922754179,0.111133670555992,1.90078214529708
"Dataset 2 with Ref 3","SNV","UVE",4,0.56735351884638,0.113531962234051,1.86062931158255
"Dataset 2 with Ref 3","SNV","GA",3,0.592059108584664,0.110242785102467,1.91614259869992
"Dataset 2 with Ref 3","1st_Der","None",2,0.116321975669425,0.162255184879092,1.30190537141583
"Dataset 2 with Ref 3","1st_Der","VIP",2,0.174741516971817,0.156800179233529,1.34719805657587
"Dataset 2 with Ref 3","1st_Der","SR",1,0.145091799614691,0.159592066251372,1.32363031381169
"Dataset 2 with Ref 3","1st_Der","sMC",2,0.134501485712566,0.160577510102479,1.31550736214148
"Dataset 2 with Ref 3","1st_Der","UVE",1,0.105852367058105,0.163213535222611,1.29426089843616
"Dataset 2 with Ref 3","1st_Der","GA",4,0.173595522119835,0.156909011716192,1.346263636637
"Dataset 2 with Ref 3","2nd_Der","None",2,0.154782928283704,0.158684930631456,1.33119695672151
"Dataset 2 with Ref 3","2nd_Der","VIP",2,0.170469650108015,0.157205485518675,1.34372471823869
"Dataset 2 with Ref 3","2nd_Der","SR",1,0.113998094444407,0.162468392741691,1.30019687626264
"Dataset 2 with Ref 3","2nd_Der","sMC",3,0.161177195285912,0.158083546557991,1.33626111846287
"Dataset 2 with Ref 3","2nd_Der","UVE",4,0.147366645827772,0.159379593590751,1.32539487631381
"Dataset 2 with Ref 3","2nd_Der","GA",5,0.023523257050867,0.170562089652787,1.23849852663145
"Dataset 2 with Ref 3","EMSC","None",1,-0.0582381933900951,0.177559237792142,1.18969251817495
"Dataset 2 with Ref 3","EMSC","VIP",1,-0.00870349631940015,0.173353781316629,1.21855372942993
"Dataset 2 with Ref 3","EMSC","SR",2,0.0658670817114115,0.166822987541699,1.26625772531113
"Dataset 2 with Ref 3","EMSC","sMC",1,-0.00671268618593679,0.173182628487123,1.21975800101605
"Dataset 2 with Ref 3","EMSC","UVE",1,-0.0090026381246382,0.173379484369674,1.218373082041
"Dataset 2 with Ref 3","EMSC","GA",1,-0.0426364547979072,0.176245488548106,1.19856058997221
"Dataset 2 with Ref 3","RNV","None",5,0.0688100896194292,0.166559990344691,1.26825713844604
"Dataset 2 with Ref 3","RNV","VIP",2,0.122608011578373,0.161677054492461,1.30656076953708
"Dataset 2 with Ref 3","RNV","SR",1,0.0261362727820119,0.170333727849509,1.24015894797295
"Dataset 2 with Ref 3","RNV","sMC",2,0.0849946543229099,0.165106196123266,1.27942440498386
"Dataset 2 with Ref 3","RNV","UVE",2,0.160636595039549,0.158134478792405,1.33583073310325
"Dataset 2 with Ref 3","RNV","GA",2,0.12647682921808,0.161320207096998,1.3094509394421
"Dataset 2 with Ref 4","Raw","None",5,0.0559224839996247,0.145250152621497,1.25929396921375
"Dataset 2 with Ref 4","Raw","VIP",2,0.144909082915466,0.138235286423001,1.32319790378207
"Dataset 2 with Ref 4","Raw","SR",1,0.0607148093971526,0.144881024239255,1.26250240280997
"Dataset 2 with Ref 4","Raw","sMC",2,0.138565677103712,0.138747081274265,1.31831703805041
"Dataset 2 with Ref 4","Raw","UVE",2,0.107457550339628,0.14123008168659,1.29513938559873
"Dataset 2 with Ref 4","Raw","GA",4,0.10279043854639,0.141598846874103,1.29176646040245
"Dataset 2 with Ref 4","SNV","None",2,0.569928907359941,0.0980353934637919,1.86578168109444
"Dataset 2 with Ref 4","SNV","VIP",2,0.572082584113547,0.0977896183538273,1.87047095901126
